species,year,variable,data_value,,,,,
Hoki,2002,Catch,195492.1,,,,,
Hoki,2003,Catch,184659.4,,,Year,Catch,TACC
Hoki,2004,Catch,135783.7,,,2002,195492.1,200010
Hoki,2005,Catch,104364.1,,,2003,184659.4,200010
Hoki,2006,Catch,104385.2,,,2004,135783.7,180010
Hoki,2007,Catch,101008.5,,,2005,104364.1,100010
Hoki,2008,Catch,89317.9,,,2006,104385.2,100010
Hoki,2009,Catch,88804.9,,,2007,101008.5,100010
Hoki,2010,Catch,107208.7,,,2008,89317.9,90010
Hoki,2011,Catch,118804.6,,,2009,88804.9,90010
Hoki,2012,Catch,130108,,,2010,107208.7,110010
Hoki,2013,Catch,131567.9,,,2011,118804.6,120010
Hoki,2014,Catch,146343.6,,,2012,130108,130010
Hoki,2015,Catch,161528,,,2013,131567.9,130010
Hoki,2016,Catch,136719.1,,,2014,146343.6,150010
Hoki,2017,Catch,141566.5,,,2015,161528,160010
Hoki,2018,Catch,135397,,,2016,136719.1,150010
Hoki,2002,TACC,200010,,,2017,141566.5,150010
Hoki,2003,TACC,200010,,,2018,135397,150010
Hoki,2004,TACC,180010,,,,,
Hoki,2005,TACC,100010,,,,,
Hoki,2006,TACC,100010,,,,,
Hoki,2007,TACC,100010,,,,,
Hoki,2008,TACC,90010,,,,,
Hoki,2009,TACC,90010,,,,,
Hoki,2010,TACC,110010,,,,,
Hoki,2011,TACC,120010,,,,,
Hoki,2012,TACC,130010,,,,,
Hoki,2013,TACC,130010,,,,,
Hoki,2014,TACC,150010,,,,,
Hoki,2015,TACC,160010,,,,,
Hoki,2016,TACC,150010,,,,,
Hoki,2017,TACC,150010,,,,,
Hoki,2018,TACC,150010,,,,,
Ling,2002,Catch,19563,,,,,
Ling,2003,Catch,18907.7,,,Year,Catch,TACC
Ling,2004,Catch,18757.7,,,2002,19563,19843.2
Ling,2005,Catch,17186.1,,,2003,18907.7,19978.5
Ling,2006,Catch,14177.8,,,2004,18757.7,19978.5
Ling,2007,Catch,16099.3,,,2005,17186.1,21977.1
Ling,2008,Catch,16262.7,,,2006,14177.8,21977.1
Ling,2009,Catch,13111.1,,,2007,16099.3,21977.1
Ling,2010,Catch,12579.9,,,2008,16262.7,21977.1
Ling,2011,Catch,12336.7,,,2009,13111.1,21977.1
Ling,2012,Catch,12954.6,,,2010,12579.9,22226
Ling,2013,Catch,14317.2,,,2011,12336.7,22226
Ling,2014,Catch,15224.6,,,2012,12954.6,22226
Ling,2015,Catch,15001.9,,,2013,14317.2,22226
Ling,2016,Catch,14665.6,,,2014,15224.6,23192
Ling,2017,Catch,16600.6,,,2015,15001.9,23192
Ling,2018,Catch,18694.2,,,2016,14665.6,23192
Ling,2002,TACC,19843.2,,,2017,16600.6,23192
Ling,2003,TACC,19978.5,,,2018,18694.2,23192
Ling,2004,TACC,19978.5,,,,,
Ling,2005,TACC,21977.1,,,,,
Ling,2006,TACC,21977.1,,,,,
Ling,2007,TACC,21977.1,,,,,
Ling,2008,TACC,21977.1,,,,,
Ling,2009,TACC,21977.1,,,,,
Ling,2010,TACC,22226,,,,,
Ling,2011,TACC,22226,,,,,
Ling,2012,TACC,22226,,,,,
Ling,2013,TACC,22226,,,,,
Ling,2014,TACC,23192,,,,,
Ling,2015,TACC,23192,,,,,
Ling,2016,TACC,23192,,,,,
Ling,2017,TACC,23192,,,,,
Ling,2018,TACC,23192,,,,,
Orange_Roughy,2002,Catch,14379.5,,,,,
Orange_Roughy,2003,Catch,14670.4,,,,,
Orange_Roughy,2004,Catch,13414.1,,,,,
Orange_Roughy,2005,Catch,15368,,,,,
Orange_Roughy,2006,Catch,15502.2,,,Year,Catch,TACC
Orange_Roughy,2007,Catch,14167.1,,,2002,14379.5,15921
Orange_Roughy,2008,Catch,13110.4,,,2003,14670.4,15221
Orange_Roughy,2009,Catch,11365.9,,,2004,13414.1,15221
Orange_Roughy,2010,Catch,9206.5,,,2005,15368,15921
Orange_Roughy,2011,Catch,6423.5,,,2006,15502.2,15921
Orange_Roughy,2012,Catch,5837.9,,,2007,14167.1,14721
Orange_Roughy,2013,Catch,5323.8,,,2008,13110.4,13612
Orange_Roughy,2014,Catch,7215.3,,,2009,11365.9,12532
Orange_Roughy,2015,Catch,8216.4,,,2010,9206.5,11062
Orange_Roughy,2016,Catch,7811.1,,,2011,6423.5,8221
Orange_Roughy,2017,Catch,7619.2,,,2012,5837.9,6941
Orange_Roughy,2018,Catch,8073.4,,,2013,5323.8,6941
Orange_Roughy,2002,TACC,15921,,,2014,7215.3,7841
Orange_Roughy,2003,TACC,15221,,,2015,8216.4,8736
Orange_Roughy,2004,TACC,15221,,,2016,7811.1,8736
Orange_Roughy,2005,TACC,15921,,,2017,7619.2,8736
Orange_Roughy,2006,TACC,15921,,,2018,8073.4,8933
Orange_Roughy,2007,TACC,14721,,,,,
Orange_Roughy,2008,TACC,13612,,,,,
Orange_Roughy,2009,TACC,12532,,,,,
Orange_Roughy,2010,TACC,11062,,,,,
Orange_Roughy,2011,TACC,8221,,,,,
Orange_Roughy,2012,TACC,6941,,,,,
Orange_Roughy,2013,TACC,6941,,,,,
Orange_Roughy,2014,TACC,7841,,,,,
Orange_Roughy,2015,TACC,8736,,,,,
Orange_Roughy,2016,TACC,8736,,,,,
Orange_Roughy,2017,TACC,8736,,,,,
Orange_Roughy,2018,TACC,8933,,,,,
Paua,2002,Catch,1102.9,,,,,
Paua,2003,Catch,1075.3,,,,,
Paua,2004,Catch,1025.1,,,Year,Catch,TACC
Paua,2005,Catch,1026.8,,,2002,1102.9,1194.2
Paua,2006,Catch,1047.4,,,2003,1075.3,1083.5
Paua,2007,Catch,995.5,,,2004,1025.1,1058.5
Paua,2008,Catch,1010,,,2005,1026.8,1058.5
Paua,2009,Catch,1008.1,,,2006,1047.4,1058.5
Paua,2010,Catch,1009.5,,,2007,995.5,1058.5
Paua,2011,Catch,944.4,,,2008,1010,1058.5
Paua,2012,Catch,947,,,2009,1008.1,1058.5
Paua,2013,Catch,910.7,,,2010,1009.5,1058.5
Paua,2014,Catch,926.2,,,2011,944.4,1058.5
Paua,2015,Catch,904.3,,,2012,947,1058.5
Paua,2016,Catch,912.2,,,2013,910.7,1058.5
Paua,2017,Catch,812.2,,,2014,926.2,1058.5
Paua,2018,Catch,705.2,,,2015,904.3,1058.5
Paua,2002,TACC,1194.2,,,2016,912.2,1058.5
Paua,2003,TACC,1083.5,,,2017,812.2,964.9
Paua,2004,TACC,1058.5,,,2018,705.2,919.1
Paua,2005,TACC,1058.5,,,,,
Paua,2006,TACC,1058.5,,,,,
Paua,2007,TACC,1058.5,,,,,
Paua,2008,TACC,1058.5,,,,,
Paua,2009,TACC,1058.5,,,,,
Paua,2010,TACC,1058.5,,,,,
Paua,2011,TACC,1058.5,,,,,
Paua,2012,TACC,1058.5,,,,,
Paua,2013,TACC,1058.5,,,,,
Paua,2014,TACC,1058.5,,,,,
Paua,2015,TACC,1058.5,,,,,
Paua,2016,TACC,1058.5,,,,,
Paua,2017,TACC,964.9,,,,,
Paua,2018,TACC,919.1,,,,,
Rock_Lobster,2002,Catch,2594.5,,,,,
Rock_Lobster,2003,Catch,2599.7,,,Year,Catch,TACC
Rock_Lobster,2004,Catch,2467.9,,,2002,2594.5,2725.5
Rock_Lobster,2005,Catch,2493,,,2003,2599.7,2725.5
Rock_Lobster,2006,Catch,2500.8,,,2004,2467.9,2725.5
Rock_Lobster,2007,Catch,2630.1,,,2005,2493,2766.8
Rock_Lobster,2008,Catch,2506.5,,,2006,2500.8,2629.8
Rock_Lobster,2009,Catch,2675.7,,,2007,2630.1,2806.9
Rock_Lobster,2010,Catch,2724.5,,,2008,2506.5,2806.9
Rock_Lobster,2011,Catch,2814.5,,,2009,2675.7,3021.4
Rock_Lobster,2012,Catch,2784.6,,,2010,2724.5,2802.5
Rock_Lobster,2013,Catch,2818.2,,,2011,2814.5,2847.7
Rock_Lobster,2014,Catch,2879.5,,,2012,2784.6,2833.1
Rock_Lobster,2015,Catch,2865.7,,,2013,2818.2,2850.6
Rock_Lobster,2016,Catch,2866.4,,,2014,2879.5,2895.7
Rock_Lobster,2017,Catch,2787,,,2015,2865.7,2898.2
Rock_Lobster,2018,Catch,2675.8,,,2016,2866.4,2929.9
Rock_Lobster,2002,TACC,2725.5,,,2017,2787,2859.9
Rock_Lobster,2003,TACC,2725.5,,,2018,2675.8,2743.6
Rock_Lobster,2004,TACC,2725.5,,,,,
Rock_Lobster,2005,TACC,2766.8,,,,,
Rock_Lobster,2006,TACC,2629.8,,,,,
Rock_Lobster,2007,TACC,2806.9,,,,,
Rock_Lobster,2008,TACC,2806.9,,,,,
Rock_Lobster,2009,TACC,3021.4,,,,,
Rock_Lobster,2010,TACC,2802.5,,,,,
Rock_Lobster,2011,TACC,2847.7,,,,,
Rock_Lobster,2012,TACC,2833.1,,,,,
Rock_Lobster,2013,TACC,2850.6,,,,,
Rock_Lobster,2014,TACC,2895.7,,,,,
Rock_Lobster,2015,TACC,2898.2,,,,,
Rock_Lobster,2016,TACC,2929.9,,,,,
Rock_Lobster,2017,TACC,2859.9,,,,,
Rock_Lobster,2018,TACC,2743.6,,,,,
Scampi,2005,Catch,918.5,,,,,
Scampi,2006,Catch,870.7,,,Year,Catch,TACC
Scampi,2007,Catch,837.7,,,2005,918.5,1291
Scampi,2008,Catch,668.2,,,2006,870.7,1291
Scampi,2009,Catch,593.6,,,2007,837.7,1291
Scampi,2010,Catch,685.7,,,2008,668.2,1291
Scampi,2011,Catch,742.4,,,2009,593.6,1291
Scampi,2012,Catch,704.9,,,2010,685.7,1291
Scampi,2013,Catch,696,,,2011,742.4,1291
Scampi,2014,Catch,768.7,,,2012,704.9,1191
Scampi,2015,Catch,875.1,,,2013,696,1191
Scampi,2016,Catch,974.2,,,2014,768.7,1224
Scampi,2017,Catch,1053.6,,,2015,875.1,1224
Scampi,2018,Catch,1019.8,,,2016,974.2,1224
Scampi,2005,TACC,1291,,,2017,1053.6,1244
Scampi,2006,TACC,1291,,,2018,1019.8,1244
Scampi,2007,TACC,1291,,,,,
Scampi,2008,TACC,1291,,,,,
Scampi,2009,TACC,1291,,,,,
Scampi,2010,TACC,1291,,,,,
Scampi,2011,TACC,1291,,,,,
Scampi,2012,TACC,1191,,,,,
Scampi,2013,TACC,1191,,,,,
Scampi,2014,TACC,1224,,,,,
Scampi,2015,TACC,1224,,,,,
Scampi,2016,TACC,1224,,,,,
Scampi,2017,TACC,1244,,,,,
Scampi,2018,TACC,1244,,,,,
Snapper,2002,Catch,6345.3,,,,,
Snapper,2003,Catch,6566.5,,,Year,Catch,TACC
Snapper,2004,Catch,6689.8,,,2002,6345.3,6494.6
Snapper,2005,Catch,6880.6,,,2003,6566.5,6557.3
Snapper,2006,Catch,6527.1,,,2004,6689.8,6557.3
Snapper,2007,Catch,6333.9,,,2005,6880.6,6557.3
Snapper,2008,Catch,6369.1,,,2006,6527.1,6357.3
Snapper,2009,Catch,6398.5,,,2007,6333.9,6357.3
Snapper,2010,Catch,6229.3,,,2008,6369.1,6357.3
Snapper,2011,Catch,6358.4,,,2009,6398.5,6357.3
Snapper,2012,Catch,6547.9,,,2010,6229.3,6357.3
Snapper,2013,Catch,6304.6,,,2011,6358.4,6357.3
Snapper,2014,Catch,6257.3,,,2012,6547.9,6357.3
Snapper,2015,Catch,6232.2,,,2013,6304.6,6357.3
Snapper,2016,Catch,6247,,,2014,6257.3,6357.3
Snapper,2017,Catch,6590.8,,,2015,6232.2,6357.3
Snapper,2018,Catch,6490.3,,,2016,6247,6357.3
Snapper,2002,TACC,6494.6,,,2017,6590.8,6407.3
Snapper,2003,TACC,6557.3,,,2018,6490.3,6407.3
Snapper,2004,TACC,6557.3,,,,,
Snapper,2005,TACC,6557.3,,,,,
Snapper,2006,TACC,6357.3,,,,,
Snapper,2007,TACC,6357.3,,,,,
Snapper,2008,TACC,6357.3,,,,,
Snapper,2009,TACC,6357.3,,,,,
Snapper,2010,TACC,6357.3,,,,,
Snapper,2011,TACC,6357.3,,,,,
Snapper,2012,TACC,6357.3,,,,,
Snapper,2013,TACC,6357.3,,,,,
Snapper,2014,TACC,6357.3,,,,,
Snapper,2015,TACC,6357.3,,,,,
Snapper,2016,TACC,6357.3,,,,,
Snapper,2017,TACC,6407.3,,,,,
Snapper,2018,TACC,6407.3,,,,,
Blue_Cod,2002,Catch,2324.3,,,,,
Blue_Cod,2003,Catch,2457.5,,,Year,Catch,TACC
Blue_Cod,2004,Catch,2501.9,,,2002,2324.3,2681.5
Blue_Cod,2005,Catch,2452.3,,,2003,2457.5,2681.5
Blue_Cod,2006,Catch,2187.4,,,2004,2501.9,2681.5
Blue_Cod,2007,Catch,2419.8,,,2005,2452.3,2681.5
Blue_Cod,2008,Catch,2316,,,2006,2187.4,2681.5
Blue_Cod,2009,Catch,2418.2,,,2007,2419.8,2681.5
Blue_Cod,2010,Catch,2162.5,,,2008,2316,2681.5
Blue_Cod,2011,Catch,2342.6,,,2009,2418.2,2681.5
Blue_Cod,2012,Catch,2216.5,,,2010,2162.5,2681.5
Blue_Cod,2013,Catch,2193.5,,,2011,2342.6,2681.5
Blue_Cod,2014,Catch,2176.1,,,2012,2216.5,2331.6
Blue_Cod,2015,Catch,2207.4,,,2013,2193.5,2331.6
Blue_Cod,2016,Catch,2105.7,,,2014,2176.1,2331.6
Blue_Cod,2017,Catch,2155.1,,,2015,2207.4,2331.6
Blue_Cod,2018,Catch,2045.3,,,2016,2105.7,2331.6
Blue_Cod,2002,TACC,2681.5,,,2017,2155.1,2331.6
Blue_Cod,2003,TACC,2681.5,,,2018,2045.3,2331.6
Blue_Cod,2004,TACC,2681.5,,,,,
Blue_Cod,2005,TACC,2681.5,,,,,
Blue_Cod,2006,TACC,2681.5,,,,,
Blue_Cod,2007,TACC,2681.5,,,,,
Blue_Cod,2008,TACC,2681.5,,,,,
Blue_Cod,2009,TACC,2681.5,,,,,
Blue_Cod,2010,TACC,2681.5,,,,,
Blue_Cod,2011,TACC,2681.5,,,,,
Blue_Cod,2012,TACC,2331.6,,,,,
Blue_Cod,2013,TACC,2331.6,,,,,
Blue_Cod,2014,TACC,2331.6,,,,,
Blue_Cod,2015,TACC,2331.6,,,,,
Blue_Cod,2016,TACC,2331.6,,,,,
Blue_Cod,2017,TACC,2331.6,,,,,
Blue_Cod,2018,TACC,2331.6,,,,,
Silver_Warehou,2002,Catch,8550.5,,,Year,Catch,TACC
Silver_Warehou,2003,Catch,9547.3,,,2002,8550.5,9512.2
Silver_Warehou,2004,Catch,10729,,,2003,9547.3,10380.2
Silver_Warehou,2005,Catch,9544.9,,,2004,10729,10380.2
Silver_Warehou,2006,Catch,11138,,,2005,9544.9,10380.2
Silver_Warehou,2007,Catch,14173.7,,,2006,11138,10380.2
Silver_Warehou,2008,Catch,8107.3,,,2007,14173.7,10380.2
Silver_Warehou,2009,Catch,8843.2,,,2008,8107.3,10380.2
Silver_Warehou,2010,Catch,7077.8,,,2009,8843.2,10380.2
Silver_Warehou,2011,Catch,8004.1,,,2010,7077.8,10380.2
Silver_Warehou,2012,Catch,7130.3,,,2011,8004.1,10380.2
Silver_Warehou,2013,Catch,8663.1,,,2012,7130.3,10380.2
Silver_Warehou,2014,Catch,7988.1,,,2013,8663.1,10380.2
Silver_Warehou,2015,Catch,9052.6,,,2014,7988.1,10380.2
Silver_Warehou,2016,Catch,7514.9,,,2015,9052.6,10380.2
Silver_Warehou,2017,Catch,8670.7,,,2016,7514.9,10380.2
Silver_Warehou,2018,Catch,8652.8,,,2017,8670.7,10380.2
Silver_Warehou,2002,TACC,9512.2,,,2018,8652.8,10380.2
Silver_Warehou,2003,TACC,10380.2,,,,,
Silver_Warehou,2004,TACC,10380.2,,,,,
Silver_Warehou,2005,TACC,10380.2,,,,,
Silver_Warehou,2006,TACC,10380.2,,,,,
Silver_Warehou,2007,TACC,10380.2,,,,,
Silver_Warehou,2008,TACC,10380.2,,,,,
Silver_Warehou,2009,TACC,10380.2,,,,,
Silver_Warehou,2010,TACC,10380.2,,,,,
Silver_Warehou,2011,TACC,10380.2,,,,,
Silver_Warehou,2012,TACC,10380.2,,,,,
Silver_Warehou,2013,TACC,10380.2,,,,,
Silver_Warehou,2014,TACC,10380.2,,,,,
Silver_Warehou,2015,TACC,10380.2,,,,,
Silver_Warehou,2016,TACC,10380.2,,,,,
Silver_Warehou,2017,TACC,10380.2,,,,,
Silver_Warehou,2018,TACC,10380.2,,,,,
Southern_Blue_Whiting,2002,Catch,32879.2,,,,,
Southern_Blue_Whiting,2003,Catch,41794.7,,,Year,Catch,TACC
Southern_Blue_Whiting,2004,Catch,27811.9,,,2002,32879.2,45148
Southern_Blue_Whiting,2005,Catch,21619.6,,,2003,41794.7,45148
Southern_Blue_Whiting,2006,Catch,30277.6,,,2004,27811.9,35648
Southern_Blue_Whiting,2007,Catch,25363.4,,,2005,21619.6,35648
Southern_Blue_Whiting,2008,Catch,25586.6,,,2006,30277.6,35648
Southern_Blue_Whiting,2009,Catch,31887.4,,,2007,25363.4,30648
Southern_Blue_Whiting,2010,Catch,39540.1,,,2008,25586.6,30648
Southern_Blue_Whiting,2011,Catch,38708.1,,,2009,31887.4,36948
Southern_Blue_Whiting,2012,Catch,38439.5,,,2010,39540.1,41848
Southern_Blue_Whiting,2013,Catch,29906.1,,,2011,38708.1,44848
Southern_Blue_Whiting,2014,Catch,33454.8,,,2012,38439.5,43408
Southern_Blue_Whiting,2015,Catch,31866.5,,,2013,29906.1,43408
Southern_Blue_Whiting,2016,Catch,24733.4,,,2014,33454.8,43408
Southern_Blue_Whiting,2017,Catch,22587.8,,,2015,31866.5,53208
Southern_Blue_Whiting,2018,Catch,21045.9,,,2016,24733.4,49288
Southern_Blue_Whiting,2002,TACC,45148,,,2017,22587.8,49288
Southern_Blue_Whiting,2003,TACC,45148,,,2018,21045.9,48815
Southern_Blue_Whiting,2004,TACC,35648,,,,,
Southern_Blue_Whiting,2005,TACC,35648,,,,,
Southern_Blue_Whiting,2006,TACC,35648,,,,,
Southern_Blue_Whiting,2007,TACC,30648,,,,,
Southern_Blue_Whiting,2008,TACC,30648,,,,,
Southern_Blue_Whiting,2009,TACC,36948,,,,,
Southern_Blue_Whiting,2010,TACC,41848,,,,,
Southern_Blue_Whiting,2011,TACC,44848,,,,,
Southern_Blue_Whiting,2012,TACC,43408,,,,,
Southern_Blue_Whiting,2013,TACC,43408,,,,,
Southern_Blue_Whiting,2014,TACC,43408,,,,,
Southern_Blue_Whiting,2015,TACC,53208,,,,,
Southern_Blue_Whiting,2016,TACC,49288,,,,,
Southern_Blue_Whiting,2017,TACC,49288,,,,,
Southern_Blue_Whiting,2018,TACC,48815,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,